Code	IATA	Name
A124	A4F	Antonov AN-124 Ruslan
A140	A40	Antonov AN-140
A148		Antonov An-148
A158	A58	Antonov An-158
A225	A25	Antonov An-225 Mriya
A306	ABY	Airbus A300-600
A30B	AB3	Airbus A300
A310	310	Airbus A310
A318	318	Airbus A318
A319	319	Airbus A319
A320	320	Airbus A320
A321	321	Airbus A321
A332	332	Airbus A330-200
A333	333	Airbus A330-300
A342	342	Airbus A340-200
A343	343	Airbus A340-300
A345	345	Airbus A340-500
A346	346	Airbus A340-600
A358	358	Airbus A350-800
A359	359	Airbus A350-900
A35K	351	Airbus A350-1000
A388	388	Airbus A380-800
A3ST	ABB	Airbus A300-600ST Beluga Freighter
A748	HS7	Hawker Siddeley HS 748
AC68	ACP	Gulfstream/Rockwell (Aero) Commander
AC90	ACT	Gulfstream/Rockwell (Aero) Turbo Commander
AN12	ANF	Antonov AN-12
AN24	AN4	Antonov AN-24
AN26	A26	Antonov AN-26
AN28	A28	Antonov AN-28
AN30	A30	Antonov AN-30
AN32	A32	Antonov AN-32
AN72	AN7	Antonov AN-72 / AN-74
AP22		Aeroprakt A-22 Foxbat / A-22 Valor / A-22 Vision
AS32	APH	Eurocopter AS332 Super Puma
AS50	NDE	Eurocopter AS350 Écureuil / AS355 Ecureuil 2 / AS550 Fennec
AT43	AT4	Aerospatiale/Alenia ATR 42-300 / 320
AT45	AT5	Aerospatiale/Alenia ATR 42-500
AT46	ATR	Aerospatiale/Alenia ATR 42-600
AT72	AT7	Aerospatiale/Alenia ATR 72
AT73	ATR	Aerospatiale/Alenia ATR 72-200 series
AT75	ATR	Aerospatiale/Alenia ATR 72-500
AT76	ATR	Aerospatiale/Alenia ATR 72-600
ATL	ATL	Robin ATL
ATP	ATP	British Aerospace ATP
B105	MBH	Eurocopter (MBB) Bo.105
B190	BEH	Beechcraft 1900
B212	BH2	Bell 212
B412	BH2	Bell 412
B429	BH2	Bell 429
B461	141	BAe 146-100
B462	142	BAe 146-200
B463	143	BAe 146-300
B703	703	Boeing 707
B712	717	Boeing 717
B720	B72	Boeing 720B
B721	721	Boeing 727-100
B722	722	Boeing 727-200
B732	732	Boeing 737-200
B733	733	Boeing 737-300
B734	734	Boeing 737-400
B735	735	Boeing 737-500
B736	736	Boeing 737-600
B737	73G	Boeing 737-700
B738	738	Boeing 737-800
B739	739	Boeing 737-900
B741	741	Boeing 747-100
B742	742	Boeing 747-200
B743	743	Boeing 747-300
B744	744	Boeing 747-400
B748	748	Boeing 747-8
B74R	74R	Boeing 747SR
B74S	74L	Boeing 747SP
B752	752	Boeing 757-200
B753	753	Boeing 757-300
B762	762	Boeing 767-200
B763	763	Boeing 767-300
B764	764	Boeing 767-400
B772	772	Boeing 777-200 / Boeing 777-200ER
B77L	77L	Boeing 777-200LR / Boeing 777F
B773	773	Boeing 777-300
B77W	77W	Boeing 777-300ER
B788	788	Boeing 787-8
B789	789	Boeing 787-9
B78X	78J	Boeing 787-10
BA11	B11	British Aerospace (BAC) One Eleven
BCS1	CS1	Bombardier CS100
BCS3	CS3	Bombardier CS300
BE55		Beechcraft Baron / 55 Baron
BE58		Beechcraft Baron / 58 Baron
BELF	SHB	Shorts SC-5 Belfast
BER2		Beriev Be-200 Altair
BLCF	74B	Boeing 747 LCF Dreamlifter
BN2P	BNI	Pilatus Britten-Norman BN-2A/B Islander
C130	LOH	Lockheed L-182 / 282 / 382 (L-100) Hercules
C152		Cessna 152
C162	CN1	Cessna 162
C172	CN1	Cessna 172
C72R	CN1	Cessna 172 Cutlass RG
C77R	CN1	Cessna 177 Cardinal RG
C182	CN1	Cessna 182 Skylane
C208	CN1	Cessna 208 Caravan
C210	CN1	Cessna 210 Centurion
C212	CS2	CASA / IPTN 212 Aviocar
C25A	CNJ	Cessna Citation CJ2
C25B	CNJ	Cessna Citation CJ3
C25C	CNJ	Cessna Citation CJ4
C46	CWC	Curtiss C-46 Commando
C500	CNJ	Cessna Citation I
C510	CNJ	Cessna Citation Mustang
C525	CNJ	Cessna CitationJet
C550	CNJ	Cessna Citation II
C560	CNJ	Cessna Citation V
C56X	CNJ	Cessna Citation Excel
C650	CNJ	Cessna Citation III
C680	CNJ	Cessna Citation Sovereign
C750	CNJ	Cessna Citation X
